Frequency,VSWR
1000000000,10.2709029422547
1007820136.85239,10.9640054234969
1015640273.70479,11.8976711487193
1023460410.55718,12.2299931493876
1031280547.40958,12.6861449357849
1039100684.26197,12.3801736065591
1046920821.11437,11.7554037314477
1054740957.96676,11.0755334497818
1062561094.81916,10.5368263708173
1070381231.67155,10.0698508830756
1078201368.52395,9.99161095269633
1086021505.37634,10.4617345180514
1093841642.22874,10.796236485881
1101661779.08113,11.2365806819142
1109481915.93353,11.8128734114488
1117302052.78592,12.0839378624949
1125122189.63832,11.8941761969881
1132942326.49071,11.8007051780319
1140762463.34311,11.2942805985504
1148582600.1955,10.6943486879764
1156402737.0479,10.0355423063443
1164222873.90029,9.83055531155409
1172043010.75269,9.94495292243957
1179863147.60508,10.1932997491606
1187683284.45748,10.4907589293929
1195503421.30987,10.8915005224983
1203323558.16227,10.9959984064183
1211143695.01466,11.4331437405625
1218963831.86706,11.3274386463418
1226783968.71945,11.2696142080397
1234604105.57185,11.002826773564
1242424242.42424,10.7848190480209
1250244379.27664,9.95159499337915
1258064516.12903,9.49529559704486
1265884652.98143,9.46149236630383
1273704789.83382,9.66007539313706
1281524926.68621,10.2537987812266
1289345063.53861,10.1733335252609
1297165200.391,10.4435371656745
1304985337.2434,10.6245565770516
1312805474.09579,10.4222132114479
1320625610.94819,9.98205160619948
1328445747.80058,9.66177640154969
1336265884.65298,9.27816811138122
1344086021.50537,8.78089537783636
1351906158.35777,8.80625024644182
1359726295.21016,8.90995374773435
1367546432.06256,9.21838663478042
1375366568.91495,9.27360979756854
1383186705.76735,9.22074352178646
1391006842.61974,9.03749074389908
1398826979.47214,8.71726776751108
1406647116.32453,8.4015194611844
1414467253.17693,8.25520250650369
1422287390.02932,8.22865052032641
1430107526.88172,8.2436586872796
1437927663.73411,8.0606991796061
1445747800.58651,7.84964697179894
1453567937.4389,7.59729165264527
1461388074.2913,7.39424342835405
1469208211.14369,7.21975924402792
1477028347.99609,7.34221141408205
1484848484.84848,7.32453541934018
1492668621.70087,7.30985893001479
1500488758.55327,7.0497422177315
1508308895.40566,6.61685380206575
1516129032.25806,6.05539209732037
1523949169.11045,5.48663296339746
1531769305.96285,4.96283069019058
1539589442.81524,4.42295286731158
1547409579.66764,3.89836627598254
1555229716.52003,3.17498481661034
1563049853.37243,2.98012363447474
1570869990.22482,4.61612619327903
1578690127.07722,6.79529174046643
1586510263.92961,7.65961697563189
1594330400.78201,7.59672306010682
1602150537.6344,7.2673569004791
1609970674.4868,6.88061280491833
1617790811.33919,6.67620225450585
