Frequency,VSWR
1.0,24.360676446149
1.0080000162125,23.926265899455
1.0160000324249,23.532755276797
1.0240000486374,23.177727173455
1.0319999456406,22.858882695468
1.039999961853,22.573929138623
1.0479999780655,22.320660576147
1.055999994278,22.096919629352
1.0640000104904,21.900575627612
1.0720000267029,21.729557226705
1.0800000429153,21.581715058086
1.0880000591278,21.455037605992
1.095999956131,21.347392304456
1.1039999723434,21.256735819718
1.1119999885559,21.18091883117
1.1200000047684,21.117768741519
1.1280000209808,21.065175586903
1.1360000371933,21.02086795975
1.1440000534058,20.982563401294
1.1519999504089,20.94802810814
1.1599999666214,20.914948812715
1.1679999828339,20.880981017798
1.1759999990463,20.843839787592
1.1840000152588,20.801242437684
1.1920000314713,20.750938217261
1.2000000476837,20.690745635528
1.2079999446869,20.618761909596
1.2159999608994,20.532973006582
1.2239999771118,20.431761971772
1.2319999933243,20.313551478985
1.2400000095367,20.17716747655
1.2480000257492,20.021615595199
1.2560000419617,19.846188234002
1.2640000581741,19.650488212721
1.2719999551773,19.434495583009
1.2799999713898,19.198410925063
1.2879999876022,18.942812087866
1.2960000038147,18.66848629569
1.3040000200272,18.37657775713
1.3120000362396,18.068401332095
1.3200000524521,17.745458851328
1.3279999494553,17.409419782719
1.3359999656677,17.062091473654
1.3439999818802,16.705330824568
1.3519999980927,16.341024263352
1.3600000143051,15.971081390241
1.3680000305176,15.597330564329
1.37600004673,15.221569046947
1.3839999437332,14.845503906655
1.3919999599457,14.470698746782
1.3999999761581,14.098628195817
1.4079999923706,13.730600359058
1.4160000085831,13.367804078113
1.4240000247955,13.011266907228
1.432000041008,12.661909113795
1.4400000572205,12.320469922425
1.4479999542236,11.987595072675
1.4559999704361,11.663780205801
1.4639999866486,11.34943331378
1.472000002861,11.044843164236
1.4800000190735,10.750194622199
1.4880000352859,10.465613380745
1.4960000514984,10.191125312136
1.5039999485016,9.9267123461034
1.5119999647141,9.67227862703
1.5199999809265,9.4276971257836
1.527999997139,9.1927843373072
1.5360000133514,8.9673351166302
1.5440000295639,8.7511017514247
1.5520000457764,8.5438193933189
1.5599999427795,8.3452108958842
1.567999958992,8.1549753165465
1.5759999752045,7.9727954899635
1.5839999914169,7.7983628466419
1.5920000076294,7.6313489435826
